Fuel_type,Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Mileage,Max_power,Torque,Seats,Engine_type,Engine_displacement,cylinders,Heater,Centeral_Locking,Air_Conditioner,Power_Steering,Anti_Theft_Device,City
Petrol,Sedan,70000,Automatic,3.0,Toyota,Toyota Camry,2014.0,Hybrid,975000.0,19.16,158.2,213.0,5,2AR FXE Petrol Engine ,1949.5,4.0,1,0,1,1,1,Hyderabad
Petrol,Hatchback,23981,Manual,1.0,Datsun,Datsun RediGO,2017.0,T Option,266000.0,22.7,53.64,72.0,5,0.8L Petrol Engine,799.0,4.0,1,1,1,1,1,Hyderabad
Petrol,SUV,7100,Automatic,1.0,Renault,Renault Kiger,2021.0,RXT AMT,595000.0,19.03,71.01,96.0,5,1.0L energy,999.0,4.0,1,1,1,1,0,Hyderabad
Petrol,Hatchback,71574,Manual,2.0,Hyundai,Hyundai i20,2011.0,1.2 Sportz,223000.0,17.0,88.7,0.0,5,In-Line Engine,1197.0,4.0,1,1,1,1,0,Hyderabad
Diesel,SUV,50000,Automatic,2.0,Audi,Audi Q3,2014.0,35 TDI Quattro Premium,1200000.0,15.73,174.33,372.5,5,TDI Diesel Engine,1949.5,4.0,1,0,1,1,1,Hyderabad
Petrol,Hatchback,35629,Automatic,1.0,Maruti,Maruti Wagon R,2018.0,VXI AMT 1.2,425000.0,20.52,81.8,113.0,5,K12M Petrol Engine,1197.0,4.0,1,1,1,1,1,Hyderabad
Petrol,Hatchback,11476,Automatic,2.0,Hyundai,Hyundai Santro,2020.0,Sportz AMT,596000.0,20.3,68.05,99.0,5,1.1 L Petrol,1086.0,4.0,1,1,1,1,0,Hyderabad
Petrol,Hatchback,31000,Manual,1.0,Renault,Renault KWID,2018.0,RXT Optional,250000.0,25.17,53.3,72.0,5,Petrol Engine,799.0,4.0,1,1,1,1,1,Hyderabad
Petrol,Sedan,41005,Manual,2.0,Maruti,Maruti Swift Dzire,2011.0,VXi,221000.0,17.5,85.8,114.0,5,In-Line Engine,1298.0,4.0,1,1,1,1,0,Hyderabad
Petrol,Hatchback,60055,Manual,1.0,Maruti,Maruti Wagon R,2010.0,LX BS IV,208000.0,18.9,67.1,90.0,5,K Series Petrol Engine,998.0,4.0,1,0,1,1,0,Hyderabad
Petrol,Hatchback,65005,Manual,1.0,Maruti,Maruti Swift,2013.0,VXI,311000.0,18.6,85.8,114.0,5,K Series Petrol Engine,1197.0,4.0,1,1,1,1,0,Hyderabad
Petrol,Hatchback,2657,Manual,1.0,Renault,Renault KWID,2022.0,RXT,463999.99999999994,22.3,53.26,72.0,5,Petrol Engine,799.0,4.0,1,1,1,1,1,Hyderabad
Petrol,Hatchback,16000,Manual,1.0,Hyundai,Hyundai i10,2011.0,Magna 1.1L,204999.99999999997,19.81,68.05,99.04,5,IRDE2 Engine,1086.0,4.0,1,1,1,1,1,Hyderabad
Diesel,SUV,7426,Automatic,1.0,Tata,Tata Harrier,2023.0,XZA Plus AT BSVI,1831500.0,14.6,167.67,350.0,5,Kryotec 2.0 L Turbocharged Engine,1949.5,4.0,1,1,1,1,0,Hyderabad
Petrol,Hatchback,27046,Automatic,1.0,Maruti,Maruti Baleno,2018.0,1.2 CVT Delta,643000.0,21.4,83.1,115.0,5,VVT Petrol Engine,1197.0,4.0,1,1,1,1,1,Hyderabad
Diesel,SUV,30100,Automatic,1.0,Toyota,Toyota Fortuner,2021.0,2.8 4WD AT,1831500.0,15.04,174.5,372.5,5,1-GD FTV Engine,1949.5,4.0,1,0,1,1,1,Hyderabad
Petrol,Hatchback,9000,Manual,1.0,Maruti,Maruti Wagon R,2022.0,LXI BSVI,545000.0,24.35,65.71,89.0,5,K10C,998.0,4.0,1,1,1,1,0,Hyderabad
