Car URL,Encoded City,Ignition Type,Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Ownership History,Car Manufacturer,Car Model,Car Model Year,Car Variant,Car Price,Mileage (km/l),Engine Capacity (L),Max Power (hp),Torque (Nm),Seats Capacity,Wheel Size (inches),Year of Registration,Fuel Type (Overview),Seats (Overview),Kilometers Driven (Overview),RTO Location,Ownership Type,Engine Displacement (L),Transmission (Overview),Year of Manufacture,Log of Car Price,Log of Overview Kilometers Driven,Log of Engine Capacity,Log of Max Power,Engine Capacity Binned,Wheel Size Binned,Engine and Torque Interaction,Car Age (years),Encoded Variant Name,Trending Text Length,Has Power Steering,Mileage Binned
5949,0,0,4,3,120000,1,3,3,20,160,2015,1806,400000.0,23.1,998,67.04,90.0,5,0.0,2015.0,4,5,120000,165,4,998,1,2015,12.899222326086994,11.695255355062795,6.906754778648554,4.220095767527661,2,2,89820.0,8.0,337,151,1,0
90,0,0,4,8,32706,1,2,2,6,50,2018,288,811000.0,17.0,1497,121.31,150.0,5,16.0,2016.0,4,5,32706,135,3,1497,1,2018,13.606024566142413,10.395344401254501,7.311886164077165,4.806558805499272,3,0,224550.0,7.0,14,151,1,2
7770,0,0,4,3,11949,1,1,1,29,273,2018,129,585000.0,23.84,1199,84.0,114.0,5,14.0,2016.0,4,5,11949,133,1,1199,1,2018,13.279368835614243,9.388486557359657,7.090076835776092,4.442651256490317,3,1,136686.0,7.0,27,151,1,0
1158,0,0,4,9,17794,1,1,1,9,87,2014,101,462000.0,19.1,1197,81.86,113.75,5,14.0,2016.0,4,5,17794,167,1,1197,1,2014,13.043322334563697,9.786672797944293,7.088408778675395,4.417152436649256,3,1,136158.75,7.0,2,151,1,2
6551,0,0,1,8,60000,1,1,1,20,178,2015,987,790000.0,23.65,1248,88.5,200.0,5,16.0,2015.0,1,5,60000,134,1,1248,1,2015,13.579789490265188,11.002116507732017,7.130098510125578,4.4942386252808095,3,0,249600.0,8.0,3,151,1,0
5078,0,0,1,8,20000,1,1,1,12,101,2020,485,1900000.0,17.1,1956,170.0,350.0,5,17.0,2020.0,1,5,20000,134,1,1956,1,2020,14.45736497045232,9.90353755128617,7.579167967396076,5.14166355650266,3,0,684600.0,3.0,5,151,1,2
22,0,0,4,3,37772,1,1,1,4,37,2017,1684,345000.0,20.63,1198,67.0,104.0,5,0.0,2016.0,4,5,37772,135,1,1198,1,2017,12.75130259456002,10.53934984066981,7.089243155027514,4.219507705176107,3,2,124592.0,7.0,1,151,1,0
4786,0,0,4,8,30000,0,1,1,9,85,2021,1581,1200000.0,18.15,998,118.35,171.6,5,16.0,2021.0,4,5,30000,165,1,998,0,2021,13.997832948091215,10.308985993422082,6.906754778648554,4.782060352784839,2,0,171256.8,2.0,13,151,1,2
6012,0,0,4,9,37000,0,1,1,20,163,2018,834,960000.0,20.28,1462,103.25,138.0,5,16.0,2016.0,4,5,37000,133,1,1462,0,2018,13.774689605110144,10.518700218288165,7.288244401020124,4.646791860678911,3,0,201756.0,7.0,5,151,1,0
2609,0,0,4,3,11949,1,1,1,29,273,2017,133,585000.0,23.84,1199,84.0,114.0,5,0.0,2016.0,4,5,11949,133,1,1199,1,2017,13.279368835614243,9.388486557359657,7.090076835776092,4.442651256490317,3,2,136686.0,7.0,2,151,1,0
